datetime,sales,time,weekday,holiday
2018-06-01 05:00:00,0,300,5,0
2018-06-01 05:15:00,0,315,5,0
2018-06-01 05:30:00,0,330,5,0
2018-06-01 05:45:00,0,345,5,0
2018-06-01 06:00:00,0,360,5,0
2018-06-01 06:15:00,0,375,5,0
2018-06-01 06:30:00,0,390,5,0
2018-06-01 06:45:00,0,405,5,0
2018-06-01 07:00:00,0,420,5,0
2018-06-01 07:15:00,0,435,5,0
2018-06-01 07:30:00,0,450,5,0
2018-06-01 07:45:00,0,465,5,0
2018-06-01 08:00:00,0,480,5,0
2018-06-01 08:15:00,0,495,5,0
2018-06-01 08:30:00,0,510,5,0
2018-06-01 08:45:00,0,525,5,0
2018-06-01 09:00:00,0,540,5,0
2018-06-01 09:15:00,0,555,5,0
2018-06-01 09:30:00,0,570,5,0
2018-06-01 09:45:00,0,585,5,0
2018-06-01 10:00:00,0,600,5,0
2018-06-01 10:15:00,0,615,5,0
2018-06-01 10:30:00,0,630,5,0
2018-06-01 10:45:00,0,645,5,0
2018-06-01 11:00:00,0,660,5,0
2018-06-01 11:15:00,0,675,5,0
2018-06-01 11:30:00,0,690,5,0
2018-06-01 11:45:00,0,705,5,0
2018-06-01 12:00:00,0,720,5,0
2018-06-01 12:15:00,0,735,5,0
2018-06-01 12:30:00,0,750,5,0
2018-06-01 12:45:00,0,765,5,0
2018-06-01 13:00:00,0,780,5,0
2018-06-01 13:15:00,0,795,5,0
2018-06-01 13:30:00,0,810,5,0
2018-06-01 13:45:00,0,825,5,0
2018-06-01 14:00:00,0,840,5,0
2018-06-01 14:15:00,0,855,5,0
2018-06-01 14:30:00,0,870,5,0
2018-06-01 14:45:00,0,885,5,0
2018-06-01 15:00:00,0,900,5,0
2018-06-01 15:15:00,0,915,5,0
2018-06-01 15:30:00,0,930,5,0
2018-06-01 15:45:00,0,945,5,0
2018-06-01 16:00:00,0,960,5,0
2018-06-01 16:15:00,0,975,5,0
2018-06-01 16:30:00,0,990,5,0
2018-06-01 16:45:00,0,1005,5,0
2018-06-01 17:00:00,0,1020,5,0
2018-06-01 17:15:00,0,1035,5,0
2018-06-01 17:30:00,0,1050,5,0
2018-06-01 17:45:00,0,1065,5,0
2018-06-01 18:00:00,0,1080,5,0
2018-06-01 18:15:00,0,1095,5,0
2018-06-01 18:30:00,0,1110,5,0
2018-06-01 18:45:00,0,1125,5,0
2018-06-01 19:00:00,0,1140,5,0
2018-06-01 19:15:00,0,1155,5,0
2018-06-01 19:30:00,0,1170,5,0
2018-06-01 19:45:00,0,1185,5,0
2018-06-01 20:00:00,0,1200,5,0
2018-06-01 20:15:00,0,1215,5,0
2018-06-01 20:30:00,0,1230,5,0
2018-06-01 20:45:00,0,1245,5,0
2018-06-01 21:00:00,0,1260,5,0
2018-06-01 21:15:00,0,1275,5,0
2018-06-01 21:30:00,0,1290,5,0
2018-06-01 21:45:00,0,1305,5,0
2018-06-01 22:00:00,0,1320,5,0
2018-06-01 22:15:00,0,1335,5,0
2018-06-01 22:30:00,0,1350,5,0
2018-06-01 22:45:00,0,1365,5,0
2018-06-01 23:00:00,0,1380,5,0
2018-06-01 23:15:00,0,1395,5,0
2018-06-01 23:30:00,0,1410,5,0
2018-06-01 23:45:00,0,1425,5,0
2018-07-01 00:00:00,0,0,6,0
2018-07-01 00:15:00,0,15,6,0
2018-07-01 00:30:00,0,30,6,0
2018-07-01 00:45:00,0,45,6,0
2018-07-01 01:00:00,0,60,6,0
2018-07-01 01:15:00,0,75,6,0
2018-07-01 01:30:00,0,90,6,0
2018-07-01 01:45:00,0,105,6,0
2018-07-01 02:00:00,0,120,6,0
2018-07-01 02:15:00,0,135,6,0
2018-07-01 02:30:00,0,150,6,0
2018-07-01 02:45:00,0,165,6,0
2018-07-01 03:00:00,0,180,6,0
2018-07-01 03:15:00,0,195,6,0
2018-07-01 03:30:00,0,210,6,0
2018-07-01 03:45:00,0,225,6,0
2018-07-01 04:00:00,0,240,6,0
2018-07-01 04:15:00,0,255,6,0
2018-07-01 04:30:00,0,270,6,0
2018-07-01 04:45:00,0,285,6,0
2018-07-01 05:00:00,0,300,6,0
2018-07-01 05:15:00,0,315,6,0
2018-07-01 05:30:00,0,330,6,0
2018-07-01 05:45:00,0,345,6,0
2018-07-01 06:00:00,0,360,6,0
2018-07-01 06:15:00,0,375,6,0
2018-07-01 06:30:00,0,390,6,0
2018-07-01 06:45:00,0,405,6,0
2018-07-01 07:00:00,0,420,6,0
2018-07-01 07:15:00,0,435,6,0
2018-07-01 07:30:00,0,450,6,0
2018-07-01 07:45:00,0,465,6,0
2018-07-01 08:00:00,0,480,6,0
2018-07-01 08:15:00,0,495,6,0
2018-07-01 08:30:00,0,510,6,0
2018-07-01 08:45:00,0,525,6,0
2018-07-01 09:00:00,0,540,6,0
2018-07-01 09:15:00,0,555,6,0
2018-07-01 09:30:00,0,570,6,0
2018-07-01 09:45:00,0,585,6,0
2018-07-01 10:00:00,0,600,6,0
2018-07-01 10:15:00,0,615,6,0
2018-07-01 10:30:00,0,630,6,0
2018-07-01 10:45:00,0,645,6,0
2018-07-01 11:00:00,0,660,6,0
2018-07-01 11:15:00,0,675,6,0
2018-07-01 11:30:00,0,690,6,0
2018-07-01 11:45:00,0,705,6,0
2018-07-01 12:00:00,0,720,6,0
2018-07-01 12:15:00,0,735,6,0
2018-07-01 12:30:00,0,750,6,0
2018-07-01 12:45:00,0,765,6,0
2018-07-01 13:00:00,0,780,6,0
2018-07-01 13:15:00,0,795,6,0
2018-07-01 13:30:00,0,810,6,0
2018-07-01 13:45:00,0,825,6,0
2018-07-01 14:00:00,0,840,6,0
2018-07-01 14:15:00,0,855,6,0
2018-07-01 14:30:00,0,870,6,0
2018-07-01 14:45:00,0,885,6,0
2018-07-01 15:00:00,0,900,6,0
2018-07-01 15:15:00,0,915,6,0
2018-07-01 15:30:00,0,930,6,0
2018-07-01 15:45:00,0,945,6,0
2018-07-01 16:00:00,0,960,6,0
2018-07-01 16:15:00,0,975,6,0
2018-07-01 16:30:00,0,990,6,0
2018-07-01 16:45:00,0,1005,6,0
2018-07-01 17:00:00,0,1020,6,0
2018-07-01 17:15:00,0,1035,6,0
2018-07-01 17:30:00,0,1050,6,0
2018-07-01 17:45:00,0,1065,6,0
2018-07-01 18:00:00,0,1080,6,0
2018-07-01 18:15:00,0,1095,6,0
2018-07-01 18:30:00,0,1110,6,0
2018-07-01 18:45:00,0,1125,6,0
2018-07-01 19:00:00,0,1140,6,0
2018-07-01 19:15:00,0,1155,6,0
2018-07-01 19:30:00,0,1170,6,0
2018-07-01 19:45:00,0,1185,6,0
2018-07-01 20:00:00,0,1200,6,0
2018-07-01 20:15:00,0,1215,6,0
2018-07-01 20:30:00,0,1230,6,0
2018-07-01 20:45:00,0,1245,6,0
2018-07-01 21:00:00,0,1260,6,0
2018-07-01 21:15:00,0,1275,6,0
